key,Actividad Econ&oacutemica,E-mail,Fax,Fecha de Constitución,Fecha de listado en BMV,Historia de la Empresa,Oficinas Corporativas,Principales Productos y/o Servicios,Ramo,Relación con Inversionistas,Sector,Subramo,Subsector,Teléfono
CIDMEGA,CONTROLADORA DE ACCIONES DE EMPRESAS DEDICADAS A LA OPERACION DE HOTELES; VENTA DE TIEMPO COMPARTIDO; VENTA DE BIENES RAICES; OPERACION DE MARINAS; CLUBS DE GOLF Y CLUB NAUTICO.,jlopez@elcid.com.mx,6699143310,21-Oct-1980,29-Sep-1997,"GRUPE, S.A.B. DE C.V. (""GRUPE"" O ""EL CID RESORTS"") ES UNO DE LOS GRUPOS TURISTICOS MAS IMPORTANTES DE MEXICO. LAS SUBSIDIARIAS DE GRUPE ESTAN RELACIONADAS PRINCIPALMENTE EN LAS SIGUIENTE ACTIVIDADES: (A)OPERACION DE HOTELES, (B)VENTA DE TIEMPO COMPARTIDO, (C)ADMINISTRACION, DESARROLLO, CONSTRUCCION Y VENTA DE BIENES RAICES, Y D) DISEÑO CONTRUCCION Y OPERACION DE MARINAS, CLUB DE TENIS, GOLF, CLUB NAUTICO Y OPERACION DE TOURS. GRUPE ES LA COMPAÑIA TENEDORA QUE ATRAVES DE SUS SUBSIDIARIAS ES DUEÑA Y OPERADORA DE EL CID RESORTS. EL CID, FUE FUNDADO EN 1971 POR DON JULIO BERDEGUE AZNAR Y ES UNO DE LOS DESARROLLOS TURISTICOS MAS GRANDES DE MEXICO. EL CID TIENE PRESENCIA EN TRES DESTINOS DE PLAYA EN MEXICO: EN MAZATLAN, EN COZUMEL, Y EN PUERTO MORELOS EN LA RIVIERA MAYA. EL CID MAZATLAN CONSTA DE 4 HOTELES: 2 FRENTE A LA PLAYA, OTRO CON FRENTE AL CLUB DE GOLF Y EL ULTIMO CON FRENTE A LA MARINA; UN CLUB DE GOLF Y CLUB CAMPESTRE CON CAMPO DE 27 HOYOS; UN CLUB NAUTICO CON ACCESO A TODAS LAS INSTALACIONES Y SERVICIOS NECESARIOS DE ATRACADEROS;Y UN PROYECTO RESIDENCIAL DE BIENES RAICES, EL CUAL TIENE MAS 5 KM DE CANALES DE NAVEGACION QUE ATRAVIESAN Y CONECTAN TODO EL DESARROLLO. EL CID COZUMEL (EL CID LA CEIBA) ES UNA PROPIEDAD QUE CUENTA CON CUARTOS HOTELEROS Y SUITES DE TIEMPO COMPARTIDO, LA PROPIEDAD FUE ADQUIRIDA EN JULIO DEL 2001. EL CID CANCUN RIVIERA MAYA, CONSTA DE 1 HOTEL FRENTA A LA PLAYA, EL CUAL INICIO OPERACIONES EN FEBRERO DEL 2006, E INCLUYE SUITES DE TIEMPO COMPARTIDO Y CUARTOS HOTELEROS, UN CLUB NAUTICO Y UN PROYECTO DE BIENES RAICES. A FINALES DEL 2005 SE ADQUIRIO INVENTARIO EN MARBELLA Y ALMERIA EN ESPAÑA Y KENT EN INGLATERRA.","av. camaron sabalo sn fraccionamiento El Cid ,82110, mazatlan SIN",SERVICIOS DE HOTELERIA.,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",LICENCIADO JUAN CARLOS LOPEZ (DIRECTOR DE ADMINISTRACION Y FINANZAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,HOTELES Y CENTROS DE VACACIONES,SERVICIOS AL CONSUMIDOR,6699135577
CIE,"CONTROLADORA DEDICADA A LA INDUSTRIA DEL ENTRETENIMIENTO, PROMOCIÓN Y ORGANIZACIÓN Y VENTA DE BOLETOS PARA EVENTOS, DE VEHÍCULOS PUBLICITARIOS Y MKT, OPERACIÓN DE RECINTOS PARA EVENTOS",investor.relations@cie.com.mx,5201-9401,21-Aug-1995,19-Dec-1995,"Con sus orígenes en 1990, la Compañía es uno de los participantes más destacados en el ámbito latinoamericano y mundial en la industria del espectáculo fuera de casa. Ofrece una gama diversa de opciones de entretenimiento para una variedad de públicos y presupuestos en ciudades grandes y medianas de alto potencial económico y crecimiento poblacional del mercado mexicano; así como en Colombia. Dicha gama de opciones incluye conciertos, producciones teatrales, eventos deportivos, familiares, y culturales, entre otros. Asimismo, la Compañía opera un parque de diversiones y un parque acuático, que conforman el desarrollo El Salitre en Bogotá, Colombia. La Compañía opera el Centro Citibanamex en la ciudad de México, uno de los mayores y más importantes recintos de exposiciones y convenciones en el ámbito internacional. Igualmente, es el más destacado productor y organizador de eventos especiales y corporativos en el mercado mexicano, y opera uno de los centros de contacto más profesionales y reconocidos en México. Asimismo, CIE promueve y comercializa el Gran Premio de México de Fórmula 1. Corporación Interamericana de Entretenimiento es una empresa pública cuyas acciones cotizan en la Bolsa Mexicana de Valores desde 1995, bajo la clave de pizarra ""CIE"".","AV. INDUSTRIA MILITAR S-N RESIDENCIAL MILITAR ,11600, MEXICO CDMX","CONCIERTOS MUSICALES, EVENTOS FAMILIARES, DEPORTIVOS, TEATRALES, ESPECIALES Y CORPORATIVOS, EXPOSICIONES Y CONVENCIONES, BOLETAJE AUTOMATIZADO PARA EVENTOS.","HOTELES, RESTAURANTES Y ESPARCIMIENTO",LIC. CONRADO M. RAMIREZ (SUBDIR. CORPO. DE CUMPLIMIENTO Y RELACION CON INVERSIONISTAS),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,CENTROS RECREATIVOS Y DE ESPARCIMIENTO,SERVICIOS AL CONSUMIDOR,5201-9000
CMOCTEZ,"ES UNA EMPRESA CONTROLADORA ESPECIALIALIZADA A TRAVES DE SUS SUBSIDIARIAS EN LA PRODUCCION, TRANSPORTE Y BOMBEO DE CONCRETO PREMEZCLADO.",rauch.luis@cmoctezuma.com.mx,,28-Jun-1982,27-May-1988,"EN EL ANO DE SU CONSTITUCION LA EMPRESA ADQUIRIO A CEMENTOS PORTLAND MOCTEZUMA, S.A. DE C.V., LA CUAL SE DEDICA A LA PRODUCCION Y VENTA DE CEMENTO PORTLAND DESDE HACE 66 ANOS; INCORPORANDO POSTERIORMENTE A LATINOAMERICANA DE CONCRETOS, S.A. DE C.V. EMPRESA DEDICADA A LA PRODUCCION Y VENTA DE CONCRETO PREMEZCLADO.","Monte Elbruz 134 PH Lomas de Chapultepec ,11000, Mexico CDMX",CEMENTO PORTLAND Y CONCRETO PREMEZCLADO.,MATERIALES DE CONSTRUCCIÓN,LIC. LUIS RAUCH (DIRECTOR DE FINANZAS),MATERIALES,MATERIALES DE CONSTRUCCIÓN,MATERIALES,52795901
CMR,"CONTROLADORA PURA DE ACCIONES DE EMPRESAS DEDICADAS A LA OPERACION DE CAFETERIAS, RESTAURANTES Y BARES EN LA REPUBLICA MEXICANA.",jmiranda@cmr.mx,52541762,22-Nov-1989,02-Jun-1997,"CMR tiene su origen en 1965 cuando su fundador Don Joaquín Vargas Gómez comienza a ofrecer al público el servicio de cafetería en un pequeño avión North Star DC-4, que había adquirido para otros fines comerciales. El éxito comercial de esta innovadora idea, marcó la pauta para proyectar una cadena de restaurantes, por lo que en el año de 1967 nace el concepto actual de Cafeterías Wings. A partir de esa fecha, la Compañía experimentó un crecimiento importante en sus operaciones, mismo que le ha permitido posicionarse como una de las principales cadenas de cafeterías y restaurantes especializados del país.","Av. Paseo de la Reforma 222, Piso 14 Juárez ,06600, México CDMX",ALIMENTOS Y BEBIDAS.,"HOTELES, RESTAURANTES Y ESPARCIMIENTO",CP. JAVIER MIRANDA (SUB-DIRECTOR DE PLANEACIÓN FINANCIERA),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,RESTAURANTES,SERVICIOS AL CONSUMIDOR,52636900
COLLADO,"COMPRA - VENTA, TRANSFORMACION, MAQUILA Y DISTRIBUCION DE PRODUCTOS DE ACERO, EMPLEADOS PRINCIPALMENTE EN LA INDUSTRIA DE LA CONSTRUCCION.",norberto.salas@gcollado.com,58042351,14-Mar-1997,21-Jul-1997,"FUE FUNDADA EN EL ANO DE 1949 COMO UNA EMPRESA COMISIONISTA, QUE REPRESENTABA CIERTOS PRODUCTOS SIDERURGICOS A TRAVES DE VARIAS EMPRESAS ESPECIALIZADAS EN LAS DIVERSAS FAMILIAS DE PRODUCTOS DE ACERO. EN 1994 SE LLEVA A CABO LA FUSION DE TODAS LAS EMPRESAS DEL GRUPO Y EN 1995 INICIA OPERACIONES EL CENTRO DE SERVICIO Y DISTRIBUCION QUE MANEJA LA GAMA MAS AMPLIA DE PRODUCTOS DERIVADOS DEL ACERO. EN 1997, LA EMPRESA REALIZA SU PRIMER COLOCACION DE ACCIONES EN LA BOLSA MEXICANA DE VALORES.","GAVILAN 200 GUADALUPE DEL MORAL ,09300, MEXICO CDMX","TUBERIA INDUSTRIAL, PANELES, CELOSIAS, VARILLA, ALAMBRON, ALAMBRE, CLAVOS, CASTILLOS Y ANILLOS, ENTRE OTROS.",FABRICACIÓN Y COMERCIALIZACIÓN DE MATERIALES,LIC NORBERTO SALAS (DIRECTOR DE FINANZAS),MATERIALES,PROCESAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DE ACERO,MATERIALES,58042200
CONVER,"COMPRA-VENTA, MAQUILA Y FABRICACION DE TODA CLASE DE ARTICULOS PLASTICOS Y METALICOS.",adelagarza@conver.com.mx,36304499,09-Nov-1979,25-Apr-1996,"CONVERTIDORA INDUSTRIAL FUE FUNDADA EN 1979, EN LA CIUDAD DE GUADALAJARA, JALISCO, MEXICO. ES UNA EMPRESA 100% MEXICANA, DEDICADA A LA PRODUCCION Y CONVERSION DE PELICULAS PLASTICAS PARA SER USADAS COMO EMPAQUE FLEXIBLE TANTO PARA APLICACIONES INDUSTRIALES, ALIMENTICIAS Y ARTICULOS DE FIESTA. CONVERTIDORA INDUSTRIAL ES UNA EMPRESA VERTICALMENTE INTEGRADA QUE PRODUCE Y VENDE GLOBOS METALIZADOS Y ENVASES FLEXIBLES DE PLASTICO. LA COMPANIA PROCESA DIFERENTES TIPOS DE PLASTICO Y NYLON METALIZADO CON EL FIN DE OBTENER LOS MATERIALES ADECUADOS PARA FABRICAR SUS DOS LINEAS DE PRODUCTOS PRINCIPALES.","RIO DE LA LOZA 2073 ATLAS ,44800, GUADALAJARA JAL","BOBINAS Y BOLSA DE POLIETILENO, POLIPROPILENO Y LAMINADA, BOLSAS POUCHES Y GLOBOS METALICOS.",PRODUCTOS DE VIDRIO Y PLÁSTICO,LIC ALEJANDRO DE LA GARZA (DIRECTOR DE FINANZAS),MATERIALES,PRODUCTOS DE VIDRIO Y PLÁSTICO,MATERIALES,36686901
CREAL,"LA REALIZACION HABITUAL Y PROFESIONAL DE OPERACIONES DE CREDITO, ARRENDAMIENTO FINANCIERO Y FACTORAJE FINANCIERO, BAJO EL CARÁCTER DE ACREDITANTE, ARRENDADOR Y FACTORANTE.",rgonzalez@creditoreal.com.mx,52289718,12-Feb-1993,09-Aug-2001,"1993- Crédito Real inicia actividades con crédito al consumo otorgando créditos para la adquisición de bienes duraderos a través de su producto Crédito Tradicional. 1994- Crédito Real realiza su primera emisión de deuda en mercado local por 20 MDP. 2005- Se crea el producto de Descuento por Nómina, con el objetivo de dar préstamos en efectivo a través de Distribuidores a empleados del Gobierno sindicalizados. 2006- Crédito Real inicia un programa de emisión de deuda por 2,000 MDP. Crédito Real se convierte como SOFOM, E.N.R. dando la posibilidad de extenderse a nuevos productos. Durante este año también se rebasan los 1,000 MDP en cartera. 2007- Surge Microcréditos, a través del cual se otorgan préstamos grupales dirigidos a mujeres con pequeños negocios que requieren capital para hacerlos crecer. 2008- Como parte del crecimiento de la empresa, se amplía el programa de emisión de deuda a 4,000 MDP. 2010-Se realiza la primera emisión de deuda en mercados internacionales por US$210 Millones. 2011- Crédito Real adquiere una participación del 49% del mayor distribuidor de nómina pública en México, así como una cartera crediticia de 1,195 MDP, con esta operación se consolida como el líder en el negocio de créditos vía nómina. 2012- En el mes de Octubre Crédito Real inicia su cotización en la Bolsa Mexicana de Valores (BMV) tras realizar una oferta pública global de acciones por un monto total de 2,556 millones de pesos. 2013- Crédito Real cambio su imagen y se realizaron nuevas alianzas como el caso de Fondo H, permitiéndonos fortalecer nuestra posición en el mercado de créditos PYMES. 2014- Se realiza una emisión de deuda en mercados internacionales por US $425 millones. Se obtuvo el distintivo ""Empresa Socialmente Responsable"". La acción de Crédito Real empezó a formar parte del índice MSCI México Small- Cap.","AVENIDA DE LOS INSURGENTES SUR 730, PISO 20 DEL VALLE NORTE ,03103, CIUDAD DE MÉXICO CDMX",,INTERMEDIARIOS FINANCIEROS NO BANCARIOS,LIC. RENATA GONZÁLEZ (RESPONSABLE DE RELACION CON INVERSIONISTAS),SERVICIOS FINANCIEROS,SOFOMES,ENTIDADES FINANCIERAS,53405200
CUERVO,PRODUCTORA DE TEQUILA Y PARTICIPANTE EN LA INDUSTRIA DE BEBIDAS ALCOHÓLICAS A NIVEL MUNDIAL.,MAROJO@CUERVO.COM.MX,,05-Nov-2002,09-Feb-2017,"La Compañía es una compañía reconocida a nivel global en la industria de bebidas alcohólicas destiladas y el mayor productor de tequila a nivel mundial. Su extraordinario portafolio de más de 30 marcas de bebidas alcohólicas, algunas de ellas propias, distribuidas a nivel mundial, y algunas otras propiedad de terceros distribuidas únicamente en México, ha sido desarrollado a lo largo de los años para participar en categorías clave con fuerte perspectiva de crecimiento, sirviendo los mercados de bebidas alcohólicas más relevantes en el mundo y atendiendo las preferencias y tendencias clave para los consumidores. La fortaleza del portafolio de marcas de la Compañía se basa en el profundo legado de sus marcas icónicas desarrolladas internamente como la familia de marcas Jose Cuervo, combinado con adquisiciones complementarias tales como Three Olives, Hangar 1, Stranahan's, Bushmills y Boodles, así como un enfoque clave en innovación, lo cual a lo largo de los años ha ayudado a la Compañía a desarrollar internamente marcas propias mundialmente conocidas, tales como 1800, Maestro Tequilero/Dobel, Centenario, Kraken, Jose Cuervo Margaritas y B:oost, entre las marcas de la Compañía, algunas de las cuales son comercializadas y distribuidas en más de 85 países. La Compañía es una de las empresas más antiguas de México, liderada por la misma familia durante once generaciones, cuyo legado y tradición aún define su negocio, marcas y cultura. La historia de la Compañía comienza hace más de 250 años, desde su fundación en 1758. En 1795, el rey Carlos IV de España le otorgó a José María Guadalupe de Cuervo y Montaño una cédula real para producir y vender ""vino de mezcal"", conocido actualmente como tequila, generalmente considerada la primera licencia para vender tequila. Asimismo, la Compañía ha estado por siglos a la vanguardia de la evolución del tequila, su primera exportación a los Estados Unidos fue en 1852, en 1880 se convirtió en el primer destilador en embotellar el tequila en botellas de vidrio y en 1945 las margaritas se inventaron usando tequila Jose Cuervo.","GUILLERMO GONZÁLEZ CAMARENA 800-4 SANTA FE ,01210, CIUDAD DE MÉXICO CDMX",TEQUILA,BEBIDAS,SRA MARIANA ROJO (DIRECTOR RELACIÓN CON INVERSIONISTAS),PRODUCTOS DE CONSUMO FRECUENTE,DESTILADORES Y VINATEROS,"ALIMENTOS, BEBIDAS Y TABACO",52587000
CULTIBA,"TENEDORA DE ACCIONES DE EMPRESAS DEDICADAS A LA PRODUCCION, DISTRIBUCION, COMPRA-VENTA Y COMERCIALIZACION DE REFRESCOS ENVASADOS, Y TAMBIEN EN AZÚCAR DE CAÑA Y MIELES INCRISTALIZABLES.",icorrales@gamsa.com.mx,5552011936,19-Apr-1978,08-Sep-1987,"Denominación: La denominación social de la compañía es Organización Cultiba, S.A.B. de C.V., cuya clave de pizarra en la BMV es CULTIBA Fecha de Constitución: CULTIBA fue constituida originalmente bajo la denominación social de Inmobiliaria Trieme, S.A., el 19 de abril de 1978. Posteriormente, en julio de 1987, tuvo lugar la fusión de Industrias Asasp, S.A. de C.V. como sociedad fusionada y Grupo Embotelladoras Unidas, S.A. de C.V. como sociedad fusionante, así como la fusión entre Inmobiliaria Trieme, S.A. de C.V. como sociedad fusionante y Grupo Embotelladoras Unidas, S.A. de C.V. como sociedad fusionada, y el cambio de denominación de Inmobiliaria Trieme, S.A. de C.V. por la de Grupo Embotelladoras Unidas, S.A. de C.V. El 22 de noviembre de 2012 se acordó modificar la denominación de la sociedad de Grupo Embotelladoras Unidas, S.A.B. de C.V. a Organización Cultiba, S.A.B. de C.V. Evolución y Eventos Históricos Relevantes: Somos una empresa integrada de bebidas no alcohólicas con una participación relevante en México. A través de nuestras asociadas y subsidiarias operativas, respectivamente, producimos, vendemos y distribuimos en todo el territorio mexicano bebidas carbonatadas y no carbonatadas, garrafones de agua, y también producimos y vendemos azúcar y productos relacionados. Nuestra asociada de bebidas es el embotellador exclusivo de las marcas PepsiCo en México, y también desarrolla y comercializa marcas propias de bebidas y distribuye marcas de terceros. Nuestro negocio de bebidas ha sido operado a través de Grupo GEPP (antes denominada GEUSA), adquirida por nuestro accionista mayoritario en 1986 y en la que participa PepsiCo desde 1992. El 30 de septiembre de 2011, celebramos un contrato de co-inversión con PepsiCo y Polmex., que tuvo como resultado la creación de una compañía de Bebidas con cobertura y presencia nacional, mediante la integración de las operaciones de nuestro negocio de bebidas con los de PBC y Grupo Gatorade México, las cuales eran subsidiarias controladas por PepsiCo, con las operaciones de Grupo GEPP que hasta esa fecha se concentraban principalmente en el centro-oeste y el sur de México. Como consecuencia de esta operación, adquirimos el 51% del capital social de Grupo GEPP, porcentaje que actualmente corresponde al 40%, como resultado de la compra del 11% de las acciones propiedad de CULTIBA por parte de Polmex derivado del ejercicio de la opción otorgada para dicho efecto en el contrato de coinversión previamente referido. Por lo que respecta a nuestro negocio azucarero, a través de la fusión en y con CULTIBA, el 1° de mayo de 2011 adquirimos los negocios azucareros de nuestras afiliadas GAM y CONASA. Como consecuencia de dicha fusión, actualmente somos propietarios y operamos a través de nuestra subsidiaria GAM (sub) (antes GAMPEC) tres ingenios azucareros, y somos propietarios del 49% de un cuarto ingenio azucarero. Estos ingenios producen azúcar estándar y refinada, principalmente para uso industrial, incluyendo sustancialmente el azúcar para su uso en la producción de nuestras bebidas","MONTE CAUCASO 915 PISO 4 LOMAS DE CHAPULTEPEC ,11000, MEXICO CDMX",REFRESCOS EN SUS DIFERENTES PRESENTACIONES Y MARCAS ASÍ COMO AZÚCAR REFINADA Y ESTÁNDAR.,BEBIDAS,LIC. ITZEL CORRALES (RELACIÓN CON INVERSIONISTAS),PRODUCTOS DE CONSUMO FRECUENTE,PRODUCCIÓN DE BEBIDAS NO ALCOHÓLICAS,"ALIMENTOS, BEBIDAS Y TABACO",5552011900
CYDSASA,CONTROLADORA DE EMPRESAS INDUSTRIALES COMERCIALES Y DE SERVICIOS QUE OPERAN EN AREAS DIVERSIFICADAS.,ir@cydsa.com,018181524813,01-Sep-1965,15-Jan-1973,"EL OBJETIVO DE GRUPO CYDSA SE SINTETIZA EN MAXIMIZAR LA CREACION DE VALOR PARA EL CLIENTE, EL PERSONAL Y EL ACCIONISTA, A TRAVES DE INCREMENTAR LA RENTABILIDAD Y EL FLUJO DE EFECTIVO DEL GRUPO. ESTE ESFUERZO HA ESTADO APOYADO EN LOS ELEMENTOS DEL MODELO DE DESARROLLO DE CYDSA, DEFINIDOS COMO LA ORIENTACION AL MERCADO, EL DESARROLLO TECNOLOGICO, LOS SISTEMAS DE MANUFACTURA Y LAS MEJORES PRACTICAS ADMINISTRATIVAS. ASI MISMO, PARA EL LOGRO DEL OBJETIVO DE CYDSA, SE HAN IMPLANTADO ESTRATEGIAS OPERATIVAS DIRIGIDAS A QUE LOS NEGOCIOS DEL GRUPO PRODUZCAN Y COMERCIALICEN BIENES Y SERVICIOS DE MAYOR VALOR, ASI COMO INCREMENTAR SU PARTICIPACION EN ESPECIALIDADES Y EN NICHOS DE MERCADO.","AV. RICARDO MARGAIN ZOZAYA 335 TORRE 2 PISO 6 VALLE DEL CAMPESTRE ,66265, SAN PEDRO GARZA GARCIA NL","PRODUCTOS QUÍMICOS Y TEXTILES, ASÍ COMO DESARROLLOS INMOBILIARIOS",PRODUCTOS QUÍMICOS,ING. OSCAR CASAS (DIRECTOR DE FINANZAS CORPORATIVO),MATERIALES,PRODUCTOS QUÍMICOS DIVERSOS,MATERIALES,018181524500
DINE,DESARROLLOS INMOBILIARIOS,antonia.gutierrez@kuo.com.mx,52618298,29-Mar-2007,30-May-2007,"DINE nació en 1978 con el proyecto de ?Bosques de las Lomas?, desarrollo residencial y comercial de alto nivel ubicado en la Ciudad de México. Desde su fundación, el reto de DINE ha sido impulsar desarrollos inmobiliarios de la más alta calidad. Al día de hoy DINE es hoy uno de los grupos inmobiliarios más importantes de México enfocado a nichos de mercado con el más alto poder adquisitivo tanto de México como de Estados Unidos y Canadá. DINE formó parte de Grupo DESC a partir de 1984 ofreciendo inmuebles en desarrollos residenciales, turísticos, comerciales y corporativos. Adicional a ?Bosques de las Lomas?, entre los proyectos más importantes que DINE ha desarrollado se encuentran el ?Centro Comercial Santa Fe? que es el centro comercial más grande de América Latina, ancla para el desarrollo de la moderna Zona de Santa Fe en la Ciudad de México, ?Arcos Bosques Corporativo?, uno de los centros de negocios más grandes y modernos de Latinoamérica, ?Punta Mita? y ?Punta Ixtapa?, complejos turísticos exclusivos ubicados en la Costa del Pacífico; así como, ?Bosques de Santa Fe?, un fraccionamiento residencial enfocado al nivel socioeconómico más alto de la Ciudad de México. DINE, como desarrollador experimentado, ha mantenido una importante solidez financiera para poder administrar exitosamente un negocio inmobiliario que puede ser vulnerable a crisis como la de principios de los años 80´s en la que otros desarrolladores desaparecieron, mientras que DINE se mantuvo e inclusive sus activos se apreciaron en el tiempo. A partir del 29 de marzo DESC cambió de denominación a GRUPO KUO, S.A.B. de C.V. (?KUO?), así como se llevó a cabo la escisión de los negocios inmobiliarios constituyéndose DINE, S.A.B. de C.V. DINE, S.A.B. de C.V., fue constituida el 29 de marzo de 2007 como resultado de la escisión de Grupo DESC, resuelta en la asamblea general ordinaria y extraordinaria de accionistas de fecha 5 de diciembre de 2006. A partir del 30 de junio empezó a cotizar en la BMV. En el año 2006, DINE, como parte del sector inmobiliario de DESC, tuvo ventas netas por US $97.9 millones, y utilidad de operación por US $13.7 millones.","PASEO DE LOS TAMARINDOS 400-B PISO 28 BOSQUES DE LAS LOMAS ,05120, MEXICO, D.F. CDMX",,DESARROLLOS INMOBILIARIOS,LIC ANTONIA GUTIERREZ (GTE.CORP. REL. INVERSIONISTAS),INDUSTRIAL,DESARROLLOS INMOBILIARIOS,CONSTRUCCIÓN,52618282
EDOARDO,"TENEDORA DE ACCIONES DE UN GRUPO DE COMPAÑIAS QUE SE DEDICAN A LA CONFECCION, FABRICACION Y COMERCIALIZACION DE TELAS Y PRENDAS DE VESTIR.",je@gambayasociados.com.mx,,05-Nov-1979,26-Nov-1980,"EDOARDOS MARTIN , S.A.B. DE C.V., FUE FUNDADA EN MEXICO EN 1948 POR EL GRUPO FRANCES J.B. MARTIN LIDER MUNDIAL DE FABRICACION DE TERCIOPELO CON FABRICAS EN VARIOS PAISES. MUY RAPIDAMENTE LA FILIAL MEXICANA SE VUELVE LIDER EN EL MERCADO NACIONAL. EN 1978 COMPRA EL CONFECIONISTA EDOARDOS Y LO DESARROLLA. EN 1980 ABRE SUS DOS PRIMERAS TIENDAS Y ENCUENTRA GRAN EXITO CON EL TERCIOJEAN. EN 1980 IGUALMENTE SE INTRODUCE EN LA BOLSA MEXICANA DE VALORES.","TIHUATLAN 15 INT. 601 SAN JERONIMO ACULCO ,10400, CIUDAD DE MEXICO CDMX","FABRICACION DE TERCIOPELO, PRENDAS DE VESTIR Y COMERCIALIZACION DE TELAS Y PRENDAS DE VESTIR.",VENTAS ESPECIALIZADAS,LIC JUAN ENRICO GAMBA (LIQUIDADOR),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,VENTA DE ROPA,VENTA AL POR MENOR,56584569 Y 56587602
ELEKTRA,GRUPO ELEKTRA ES UNA COMPAÑÍA DE SERVICIOS FINANCIEROS Y DE COMERCIO ESPECIALIZADO ENFOCADA A LA BASE DE LA PIRÁMIDE SOCIOECONÓMICA.,jrangelk@gruposalinas.com.mx,17207813,30-Dec-1959,10-Dec-1991,"Grupo Elektra, S.A.B. de C.V., es una sociedad anónima bursátil de capital variable constituida conforme a las leyes de los Estados Unidos Mexicanos. Grupo Elektra fue fundado en 1950 como una Compañía dedicada a la fabricación de transmisores de radio y en 1957 comenzó a operar como una comercializadora con la apertura de nuestra primera tienda Elektra.","AV. INSURGENTES SUR NO. 3579 TLALPAN LA JOYA ,14000, MEXICO CDMX","ELECTRÓNICA, LÍNEA BLANCA, ELECTRODOMÉSTICOS, TELEFONÍA, MOTOCICLETAS, CÓMPUTO, TRANSFERENCIAS DE DINERO, CRÉDITOS, SEGUROS, AFORE, PRÉSTAMOS PRENDARIOS, ENTRE OTROS.",VENTAS ESPECIALIZADAS,LIC. JUAN BRUNO RANGEL (DIRECTOR DE RELACIONES CON INV),SERVICIOS Y BIENES DE CONSUMO NO BÁSICO,VENTA DE EQUIPAMIENTO PARA EL HOGAR,VENTA AL POR MENOR,17209167
ELEMENT,"FABRICANTE DE PRODUCTOS DE COBRE, FIBROCEMENTO, CONCRETO, POLIETILENO, POLIPROPILENO Y ESTIRENO",amolinar@elementia.com,,28-Apr-1952,27-Oct-2010,"Elementia es la empresa líder en materiales para construcción en la región. La compañía ha crecido tanto orgánicamente como por medio de fusiones y adquisiciones para constituirse en una Compañía con un amplio portafolio de productos líderes para la construcción siendo capaz de suministrar hasta el 75% de los materiales utilizados para construir una casa típica. Con una amplia red de distribución conformada por más de 5,000 distribuidores independientes y clientes a lo largo de 45 países que cubre todas las etapas de la construcción, Elementia es el productor número 1 de fibrocemento en Latinoamérica y el número 2 en Estados Unidos, es uno de los 5 productores de productos de cobre y sus aleaciones a nivel mundial y el primer entrante en el mercado de Cemento en México en 65 años. Elementia cuenta con 33 plantas de producción situadas en nueve países del continente americano; específicamente, México, Estados Unidos, Bolivia, Colombia, Costa Rica, Ecuador, El Salvador, Honduras y Perú. Las principales Marcas de la Compañía son: Fortaleza ® / Nacobre ® / Mexalit ® / Eureka ® / Plycem ® / Eternit ® / Duralit ® / Fibraforte ® / Frigocel ® / Allura ® / Maxitile ®/ Cobrecel ® / Giant ®/ Dragon ®/ Keystone ®","PONIENTE 134 NUMERO 719, PISO 3 INDUSTRIAL VALLEJO ,02300, MEXICO CDMX","COBRE: TUBO, LÁMINA, BARRA, CONEXIONES, VÁLVULAS. FIBROCEMENTO: LÁMINA, TECHOS, PLAFONES, MUROS, PANELES, TUBERÍA CONCRETO. PLÁSTICO: CASETÓN, BOVEDILLAS, MOLDURAS, ENTRE OTROS.",MATERIALES DE CONSTRUCCIÓN,LICENCIADO ALFONSO MOLINA (GERENTE DE RELACIÓN CON INVERSIONISTAS),MATERIALES,MATERIALES DE CONSTRUCCIÓN,MATERIALES,57285300
